pins,frequency,level
6254,102,moderate
6300,102,moderate
6364,102,moderate
6366,102,moderate
6407,102,moderate
6412,102,moderate
6488,102,moderate
6511,102,moderate
6545,102,moderate
6622,102,moderate
6662,102,moderate
6768,102,moderate
6890,102,moderate
6972,102,moderate
7080,102,moderate
7090,102,moderate
7137,102,moderate
7142,102,moderate
7189,102,moderate
7250,102,moderate
7313,102,moderate
7533,102,moderate
7580,102,moderate
7673,102,moderate
7721,102,moderate
7727,102,moderate
7775,102,moderate
7812,102,moderate
7912,102,moderate
7920,102,moderate
7981,102,moderate
8081,102,moderate
8090,102,moderate
8111,102,moderate
8112,102,moderate
8234,102,moderate
8589,102,moderate
8798,102,moderate
8809,102,moderate
8810,102,moderate
8893,102,moderate
9008,102,moderate
9011,102,moderate
9333,102,moderate
9515,102,moderate
9606,102,moderate
9744,102,moderate
9753,102,moderate
9812,102,moderate
9821,102,moderate
9939,102,moderate
26,101,moderate
28,101,moderate
29,101,moderate
63,101,moderate
82,101,moderate
92,101,moderate
337,101,moderate
532,101,moderate
942,101,moderate
977,101,moderate
978,101,moderate
989,101,moderate
1085,101,moderate
1093,101,moderate
1196,101,moderate
1376,101,moderate
1395,101,moderate
1460,101,moderate
1473,101,moderate
1584,101,moderate
1633,101,moderate
1642,101,moderate
1647,101,moderate
1649,101,moderate
1657,101,moderate
1687,101,moderate
1772,101,moderate
1849,101,moderate
1894,101,moderate
1896,101,moderate
2049,101,moderate
2056,101,moderate
2070,101,moderate
2077,101,moderate
2196,101,moderate
2281,101,moderate
2291,101,moderate
2364,101,moderate
2370,101,moderate
2437,101,moderate
2447,101,moderate
2453,101,moderate
2473,101,moderate
2489,101,moderate
2551,101,moderate
2561,101,moderate
2623,101,moderate
2635,101,moderate
2650,101,moderate
2677,101,moderate
2717,101,moderate
2720,101,moderate
2721,101,moderate
2725,101,moderate
2750,101,moderate
2853,101,moderate
2916,101,moderate
2922,101,moderate
3032,101,moderate
3035,101,moderate
3060,101,moderate
3070,101,moderate
3080,101,moderate
3089,101,moderate
3106,101,moderate
3147,101,moderate
3162,101,moderate
3202,101,moderate
3207,101,moderate
3279,101,moderate
3298,101,moderate
3302,101,moderate
3375,101,moderate
3442,101,moderate
3457,101,moderate
3472,101,moderate
3501,101,moderate
3519,101,moderate
3524,101,moderate
3575,101,moderate
3580,101,moderate
3587,101,moderate
3590,101,moderate
3622,101,moderate
3624,101,moderate
3628,101,moderate
3879,101,moderate
3883,101,moderate
3960,101,moderate
4161,101,moderate
4168,101,moderate
4171,101,moderate
4223,101,moderate
4274,101,moderate
4279,101,moderate
4372,101,moderate
4450,101,moderate
4489,101,moderate
4664,101,moderate
5002,101,moderate
5017,101,moderate
5032,101,moderate
5102,101,moderate
5103,101,moderate
5144,101,moderate
5191,101,moderate
5231,101,moderate
5256,101,moderate
5418,101,moderate
5419,101,moderate
5441,101,moderate
5472,101,moderate
5560,101,moderate
5576,101,moderate
5593,101,moderate
5602,101,moderate
5610,101,moderate
5632,101,moderate
5633,101,moderate
5812,101,moderate
5940,101,moderate
6023,101,moderate
6064,101,moderate
6157,101,moderate
6245,101,moderate
6336,101,moderate
6372,101,moderate
6420,101,moderate
6610,101,moderate
6626,101,moderate
6638,101,moderate
6654,101,moderate
6658,101,moderate
6775,101,moderate
6795,101,moderate
6920,101,moderate
6971,101,moderate
6999,101,moderate
7068,101,moderate
7112,101,moderate
7116,101,moderate
7162,101,moderate
7235,101,moderate
7274,101,moderate
7391,101,moderate
7535,101,moderate
7605,101,moderate
7664,101,moderate
7737,101,moderate
7758,101,moderate
7786,101,moderate
7807,101,moderate
7811,101,moderate
7854,101,moderate
8113,101,moderate
8301,101,moderate
8432,101,moderate
8448,101,moderate
8468,101,moderate
8486,101,moderate
8542,101,moderate
8648,101,moderate
8702,101,moderate
8778,101,moderate
8869,101,moderate
8881,101,moderate
8920,101,moderate
9015,101,moderate
9173,101,moderate
9311,101,moderate
9498,101,moderate
9500,101,moderate
9519,101,moderate
9551,101,moderate
9555,101,moderate
9633,101,moderate
9725,101,moderate
9788,101,moderate
9789,101,moderate
9912,101,moderate
9951,101,moderate
68,100,moderate
87,100,moderate
180,100,moderate
199,100,moderate
248,100,moderate
344,100,moderate
485,100,moderate
689,100,moderate
775,100,moderate
890,100,moderate
945,100,moderate
1061,100,moderate
1062,100,moderate
1396,100,moderate
1465,100,moderate
1529,100,moderate
1556,100,moderate
1645,100,moderate
1683,100,moderate
1689,100,moderate
1743,100,moderate
1780,100,moderate
1784,100,moderate
1833,100,moderate
1837,100,moderate
1855,100,moderate
1856,100,moderate
1863,100,moderate
1873,100,moderate
1878,100,moderate
2048,100,moderate
2093,100,moderate
2163,100,moderate
2166,100,moderate
2273,100,moderate
2297,100,moderate
2359,100,moderate
2388,100,moderate
2395,100,moderate
2484,100,moderate
2487,100,moderate
2491,100,moderate
2542,100,moderate
2631,100,moderate
2636,100,moderate
2658,100,moderate
2679,100,moderate
2737,100,moderate
2781,100,moderate
2787,100,moderate
2824,100,moderate
2827,100,moderate
2866,100,moderate
2886,100,moderate
2920,100,moderate
2957,100,moderate
3022,100,moderate
3068,100,moderate
3127,100,moderate
3137,100,moderate
3264,100,moderate
3272,100,moderate
3282,100,moderate
3340,100,moderate
3342,100,moderate
3349,100,moderate
3402,100,moderate
3404,100,moderate
3408,100,moderate
3419,100,moderate
3427,100,moderate
3429,100,moderate
3437,100,moderate
3454,100,moderate
3516,100,moderate
3518,100,moderate
3520,100,moderate
3525,100,moderate
3526,100,moderate
3554,100,moderate
3719,100,moderate
3742,100,moderate
3773,100,moderate
3798,100,moderate
3817,100,moderate
3821,100,moderate
4109,100,moderate
4151,100,moderate
4205,100,moderate
4215,100,moderate
4277,100,moderate
4295,100,moderate
4310,100,moderate
4316,100,moderate
4323,100,moderate
4410,100,moderate
4432,100,moderate
4487,100,moderate
4504,100,moderate
4526,100,moderate
4551,100,moderate
4552,100,moderate
4571,100,moderate
4590,100,moderate
4613,100,moderate
4619,100,moderate
4624,100,moderate
4648,100,moderate
4748,100,moderate
4777,100,moderate
4791,100,moderate
4808,100,moderate
4850,100,moderate
4911,100,moderate
5014,100,moderate
5033,100,moderate
5080,100,moderate
5108,100,moderate
5130,100,moderate
5141,100,moderate
5180,100,moderate
5204,100,moderate
5214,100,moderate
5217,100,moderate
5241,100,moderate
5259,100,moderate
5311,100,moderate
5331,100,moderate
5356,100,moderate
5408,100,moderate
5431,100,moderate
5462,100,moderate
5468,100,moderate
5517,100,moderate
5553,100,moderate
5558,100,moderate
5569,100,moderate
5641,100,moderate
5655,100,moderate
5667,100,moderate
5676,100,moderate
5696,100,moderate
5765,100,moderate
5768,100,moderate
5790,100,moderate
5840,100,moderate
5859,100,moderate
5878,100,moderate
6001,100,moderate
6061,100,moderate
6069,100,moderate
6116,100,moderate
6145,100,moderate
6258,100,moderate
6428,100,moderate
6466,100,moderate
6469,100,moderate
6476,100,moderate
6502,100,moderate
6519,100,moderate
6535,100,moderate
6608,100,moderate
6671,100,moderate
6678,100,moderate
6686,100,moderate
6756,100,moderate
6844,100,moderate
6871,100,moderate
6984,100,moderate
7010,100,moderate
7017,100,moderate
7050,100,moderate
7089,100,moderate
7093,100,moderate
7190,100,moderate
7214,100,moderate
7252,100,moderate
7285,100,moderate
7300,100,moderate
7310,100,moderate
7400,100,moderate
7417,100,moderate
7476,100,moderate
7510,100,moderate
7530,100,moderate
7551,100,moderate
7600,100,moderate
7656,100,moderate
7701,100,moderate
7741,100,moderate
7756,100,moderate
7797,100,moderate
7800,100,moderate
7866,100,moderate
7876,100,moderate
7901,100,moderate
7971,100,moderate
8004,100,moderate
8012,100,moderate
8082,100,moderate
8089,100,moderate
8121,100,moderate
8179,100,moderate
8211,100,moderate
8218,100,moderate
8244,100,moderate
8371,100,moderate
8406,100,moderate
8412,100,moderate
8455,100,moderate
8530,100,moderate
8544,100,moderate
8558,100,moderate
8596,100,moderate
8688,100,moderate
8700,100,moderate
8791,100,moderate
8831,100,moderate
8833,100,moderate
8852,100,moderate
8866,100,moderate
8880,100,moderate
8891,100,moderate
8967,100,moderate
9002,100,moderate
9052,100,moderate
9074,100,moderate
9099,100,moderate
9140,100,moderate
9306,100,moderate
9392,100,moderate
9511,100,moderate
9545,100,moderate
9800,100,moderate
9808,100,moderate
9822,100,moderate
94,99,moderate
132,99,moderate
175,99,moderate
196,99,moderate
231,99,moderate
234,99,moderate
288,99,moderate
300,99,moderate
352,99,moderate
387,99,moderate
500,99,moderate
652,99,moderate
783,99,moderate
892,99,moderate
944,99,moderate
1462,99,moderate
1464,99,moderate
1659,99,moderate
1685,99,moderate
1742,99,moderate
1767,99,moderate
1769,99,moderate
1853,99,moderate
1872,99,moderate
1891,99,moderate
2159,99,moderate
2171,99,moderate
2182,99,moderate
2186,99,moderate
2190,99,moderate
2264,99,moderate
2283,99,moderate
2289,99,moderate
2292,99,moderate
2352,99,moderate
2386,99,moderate
2387,99,moderate
2438,99,moderate
2459,99,moderate
2463,99,moderate
2560,99,moderate
2564,99,moderate
2571,99,moderate
2572,99,moderate
2584,99,moderate
2599,99,moderate
2647,99,moderate
2664,99,moderate
2691,99,moderate
2740,99,moderate
2752,99,moderate
2759,99,moderate
2791,99,moderate
2795,99,moderate
2799,99,moderate
2821,99,moderate
2830,99,moderate
2831,99,moderate
2842,99,moderate
2850,99,moderate
2869,99,moderate
2885,99,moderate
2892,99,moderate
2917,99,moderate
2969,99,moderate
2988,99,moderate
3023,99,moderate
3136,99,moderate
3140,99,moderate
3143,99,moderate
3170,99,moderate
3205,99,moderate
3226,99,moderate
3308,99,moderate
3368,99,moderate
3378,99,moderate
3393,99,moderate
3416,99,moderate
3428,99,moderate
3450,99,moderate
3461,99,moderate
3469,99,moderate
3539,99,moderate
3551,99,moderate
3565,99,moderate
3571,99,moderate
3610,99,moderate
3645,99,moderate
3646,99,moderate
3649,99,moderate
3667,99,moderate
3686,99,moderate
3695,99,moderate
3696,99,moderate
3715,99,moderate
3850,99,moderate
3944,99,moderate
3993,99,moderate
4002,99,moderate
4027,99,moderate
4029,99,moderate
4045,99,moderate
4120,99,moderate
4132,99,moderate
4156,99,moderate
4169,99,moderate
4216,99,moderate
4236,99,moderate
4251,99,moderate
4269,99,moderate
4337,99,moderate
4434,99,moderate
4470,99,moderate
4472,99,moderate
4549,99,moderate
4612,99,moderate
4615,99,moderate
4632,99,moderate
4694,99,moderate
4720,99,moderate
4728,99,moderate
4811,99,moderate
4825,99,moderate
4826,99,moderate
4849,99,moderate
4852,99,moderate
5015,99,moderate
5019,99,moderate
5064,99,moderate
5132,99,moderate
5171,99,moderate
5188,99,moderate
5201,99,moderate
5220,99,moderate
5269,99,moderate
5276,99,moderate
5277,99,moderate
5285,99,moderate
5288,99,moderate
5300,99,moderate
5318,99,moderate
5326,99,moderate
5342,99,moderate
5426,99,moderate
5467,99,moderate
5481,99,moderate
5536,99,moderate
5552,99,moderate
5562,99,moderate
5587,99,moderate
5590,99,moderate
5606,99,moderate
5660,99,moderate
5702,99,moderate
5712,99,moderate
5759,99,moderate
5804,99,moderate
5847,99,moderate
5866,99,moderate
5895,99,moderate
5898,99,moderate
5906,99,moderate
6160,99,moderate
6231,99,moderate
6264,99,moderate
6279,99,moderate
6289,99,moderate
6368,99,moderate
6421,99,moderate
6424,99,moderate
6441,99,moderate
6462,99,moderate
6481,99,moderate
6675,99,moderate
6680,99,moderate
6682,99,moderate
6730,99,moderate
6747,99,moderate
6784,99,moderate
6914,99,moderate
7114,99,moderate
7140,99,moderate
7152,99,moderate
7221,99,moderate
7273,99,moderate
7283,99,moderate
7333,99,moderate
7387,99,moderate
7401,99,moderate
7409,99,moderate
7585,99,moderate
7607,99,moderate
7625,99,moderate
7633,99,moderate
7709,99,moderate
7713,99,moderate
7725,99,moderate
7767,99,moderate
7849,99,moderate
8101,99,moderate
8127,99,moderate
8188,99,moderate
8216,99,moderate
8221,99,moderate
8240,99,moderate
8287,99,moderate
8352,99,moderate
8510,99,moderate
8625,99,moderate
8687,99,moderate
8756,99,moderate
8819,99,moderate
8844,99,moderate
8846,99,moderate
9007,99,moderate
9182,99,moderate
9300,99,moderate
9497,99,moderate
9507,99,moderate
9566,99,moderate
9594,99,moderate
9610,99,moderate
9665,99,moderate
9764,99,moderate
9868,99,moderate
9872,99,moderate
9888,99,moderate
38,98,moderate
48,98,moderate
150,98,moderate
154,98,moderate
156,98,moderate
172,98,moderate
177,98,moderate
233,98,moderate
246,98,moderate
287,98,moderate
484,98,moderate
889,98,moderate
970,98,moderate
1294,98,moderate
1392,98,moderate
1449,98,moderate
1483,98,moderate
1497,98,moderate
1498,98,moderate
1539,98,moderate
1558,98,moderate
1630,98,moderate
1640,98,moderate
1676,98,moderate
1799,98,moderate
2069,98,moderate
2084,98,moderate
2095,98,moderate
2184,98,moderate
2189,98,moderate
2193,98,moderate
2197,98,moderate
2259,98,moderate
2295,98,moderate
2363,98,moderate
2373,98,moderate
2445,98,moderate
2490,98,moderate
2495,98,moderate
2540,98,moderate
2558,98,moderate
2562,98,moderate
2581,98,moderate
2616,98,moderate
2618,98,moderate
2629,98,moderate
2630,98,moderate
2642,98,moderate
2644,98,moderate
2645,98,moderate
2654,98,moderate
2661,98,moderate
2716,98,moderate
2726,98,moderate
2731,98,moderate
2736,98,moderate
2747,98,moderate
2790,98,moderate
2822,98,moderate
2875,98,moderate
2898,98,moderate
2921,98,moderate
2934,98,moderate
2950,98,moderate
2956,98,moderate
3018,98,moderate
3066,98,moderate
3156,98,moderate
3230,98,moderate
3238,98,moderate
3319,98,moderate
3350,98,moderate
3360,98,moderate
3365,98,moderate
3370,98,moderate
3407,98,moderate
3431,98,moderate
3440,98,moderate
3514,98,moderate
3544,98,moderate
3555,98,moderate
3568,98,moderate
3591,98,moderate
3635,98,moderate
3713,98,moderate
3787,98,moderate
3839,98,moderate
3877,98,moderate
3891,98,moderate
4035,98,moderate
4080,98,moderate
4119,98,moderate
4143,98,moderate
4184,98,moderate
4204,98,moderate
4222,98,moderate
4314,98,moderate
4328,98,moderate
4331,98,moderate
4341,98,moderate
4355,98,moderate
4371,98,moderate
4405,98,moderate
4423,98,moderate
4451,98,moderate
4480,98,moderate
4483,98,moderate
4485,98,moderate
4537,98,moderate
4577,98,moderate
4579,98,moderate
4580,98,moderate
4598,98,moderate
4652,98,moderate
4660,98,moderate
4662,98,moderate
4684,98,moderate
4701,98,moderate
4731,98,moderate
4788,98,moderate
4792,98,moderate
4820,98,moderate
4823,98,moderate
4832,98,moderate
4853,98,moderate
4878,98,moderate
4936,98,moderate
4959,98,moderate
4972,98,moderate
4979,98,moderate
4991,98,moderate
5012,98,moderate
5088,98,moderate
5089,98,moderate
5090,98,moderate
5125,98,moderate
5164,98,moderate
5272,98,moderate
5279,98,moderate
5292,98,moderate
5346,98,moderate
5351,98,moderate
5358,98,moderate
5416,98,moderate
5435,98,moderate
5475,98,moderate
5501,98,moderate
5520,98,moderate
5559,98,moderate
5580,98,moderate
5584,98,moderate
5591,98,moderate
5598,98,moderate
5629,98,moderate
5647,98,moderate
5679,98,moderate
5682,98,moderate
5747,98,moderate
5748,98,moderate
5752,98,moderate
5771,98,moderate
5811,98,moderate
5874,98,moderate
5891,98,moderate
5983,98,moderate
6012,98,moderate
6033,98,moderate
6066,98,moderate
6099,98,moderate
6100,98,moderate
6101,98,moderate
6122,98,moderate
6163,98,moderate
6179,98,moderate
6223,98,moderate
6224,98,moderate
6226,98,moderate
6248,98,moderate
6446,98,moderate
6456,98,moderate
6463,98,moderate
6512,98,moderate
6530,98,moderate
6532,98,moderate
6537,98,moderate
6546,98,moderate
6547,98,moderate
6569,98,moderate
6601,98,moderate
6673,98,moderate
6711,98,moderate
6819,98,moderate
6866,98,moderate
6878,98,moderate
6946,98,moderate
6955,98,moderate
6976,98,moderate
7005,98,moderate
7130,98,moderate
7173,98,moderate
7185,98,moderate
7311,98,moderate
7378,98,moderate
7388,98,moderate
7403,98,moderate
7454,98,moderate
7473,98,moderate
7590,98,moderate
7606,98,moderate
7666,98,moderate
7689,98,moderate
7716,98,moderate
7724,98,moderate
7751,98,moderate
7783,98,moderate
7802,98,moderate
7921,98,moderate
7952,98,moderate
7978,98,moderate
8016,98,moderate
8134,98,moderate
8176,98,moderate
8190,98,moderate
8277,98,moderate
8288,98,moderate
8347,98,moderate
8348,98,moderate
8385,98,moderate
8404,98,moderate
8409,98,moderate
8464,98,moderate
8471,98,moderate
8475,98,moderate
8480,98,moderate
8485,98,moderate
8494,98,moderate
8505,98,moderate
8515,98,moderate
8531,98,moderate
8740,98,moderate
8818,98,moderate
8823,98,moderate
8878,98,moderate
8963,98,moderate
8969,98,moderate
9021,98,moderate
9069,98,moderate
9098,98,moderate
9116,98,moderate
9198,98,moderate
9263,98,moderate
9290,98,moderate
9423,98,moderate
9527,98,moderate
9541,98,moderate
9653,98,moderate
9659,98,moderate
9698,98,moderate
9787,98,moderate
9879,98,moderate
9901,98,moderate
9910,98,moderate
9923,98,moderate
9975,98,moderate
34,97,difficult
81,97,difficult
141,97,difficult
249,97,difficult
256,97,difficult
257,97,difficult
270,97,difficult
455,97,difficult
655,97,difficult
700,97,difficult
865,97,difficult
957,97,difficult
969,97,difficult
997,97,difficult
1393,97,difficult
1582,97,difficult
1681,97,difficult
1755,97,difficult
1792,97,difficult
1866,97,difficult
1895,97,difficult
2066,97,difficult
2167,97,difficult
2195,97,difficult
2260,97,difficult
2361,97,difficult
2371,97,difficult
2384,97,difficult
2398,97,difficult
2440,97,difficult
2634,97,difficult
2646,97,difficult
2659,97,difficult
2674,97,difficult
2685,97,difficult
2730,97,difficult
2762,97,difficult
2766,97,difficult
2784,97,difficult
2841,97,difficult
2913,97,difficult
2928,97,difficult
2940,97,difficult
2975,97,difficult
2992,97,difficult
3027,97,difficult
3028,97,difficult
3041,97,difficult
3050,97,difficult
3149,97,difficult
3188,97,difficult
3190,97,difficult
3197,97,difficult
3228,97,difficult
3239,97,difficult
3249,97,difficult
3257,97,difficult
3307,97,difficult
3371,97,difficult
3372,97,difficult
3413,97,difficult
3458,97,difficult
3460,97,difficult
3465,97,difficult
3488,97,difficult
3489,97,difficult
3509,97,difficult
3626,97,difficult
3632,97,difficult
3638,97,difficult
3640,97,difficult
3701,97,difficult
3718,97,difficult
3789,97,difficult
3816,97,difficult
3822,97,difficult
3875,97,difficult
3978,97,difficult
4051,97,difficult
4062,97,difficult
4101,97,difficult
4154,97,difficult
4218,97,difficult
4220,97,difficult
4227,97,difficult
4240,97,difficult
4250,97,difficult
4278,97,difficult
4409,97,difficult
4413,97,difficult
4439,97,difficult
4449,97,difficult
4452,97,difficult
4458,97,difficult
4464,97,difficult
4468,97,difficult
4471,97,difficult
4475,97,difficult
4510,97,difficult
4517,97,difficult
4525,97,difficult
4595,97,difficult
4678,97,difficult
4685,97,difficult
4712,97,difficult
4714,97,difficult
4729,97,difficult
4794,97,difficult
4813,97,difficult
4891,97,difficult
4909,97,difficult
4950,97,difficult
5027,97,difficult
5040,97,difficult
5074,97,difficult
5077,97,difficult
5082,97,difficult
5107,97,difficult
5147,97,difficult
5205,97,difficult
5216,97,difficult
5226,97,difficult
5227,97,difficult
5239,97,difficult
5240,97,difficult
5271,97,difficult
5320,97,difficult
5347,97,difficult
5363,97,difficult
5390,97,difficult
5439,97,difficult
5444,97,difficult
5476,97,difficult
5485,97,difficult
5515,97,difficult
5572,97,difficult
5626,97,difficult
5630,97,difficult
5634,97,difficult
5652,97,difficult
5666,97,difficult
5675,97,difficult
5769,97,difficult
5821,97,difficult
5894,97,difficult
5896,97,difficult
5950,97,difficult
5989,97,difficult
5995,97,difficult
6015,97,difficult
6040,97,difficult
6191,97,difficult
6234,97,difficult
6250,97,difficult
6261,97,difficult
6272,97,difficult
6276,97,difficult
6277,97,difficult
6290,97,difficult
6355,97,difficult
6367,97,difficult
6400,97,difficult
6431,97,difficult
6485,97,difficult
6553,97,difficult
6574,97,difficult
6600,97,difficult
6623,97,difficult
6624,97,difficult
6679,97,difficult
6696,97,difficult
6782,97,difficult
6788,97,difficult
6810,97,difficult
6913,97,difficult
7003,97,difficult
7033,97,difficult
7120,97,difficult
7201,97,difficult
7266,97,difficult
7302,97,difficult
7376,97,difficult
7383,97,difficult
7427,97,difficult
7471,97,difficult
7479,97,difficult
7509,97,difficult
7598,97,difficult
7655,97,difficult
7710,97,difficult
7745,97,difficult
7805,97,difficult
7821,97,difficult
7862,97,difficult
7864,97,difficult
7874,97,difficult
7888,97,difficult
7910,97,difficult
7991,97,difficult
8077,97,difficult
8109,97,difficult
8192,97,difficult
8201,97,difficult
8202,97,difficult
8219,97,difficult
8279,97,difficult
8283,97,difficult
8338,97,difficult
8514,97,difficult
8516,97,difficult
8567,97,difficult
8569,97,difficult
8584,97,difficult
8701,97,difficult
8710,97,difficult
8712,97,difficult
8715,97,difficult
8749,97,difficult
8790,97,difficult
8805,97,difficult
8879,97,difficult
8897,97,difficult
8922,97,difficult
8946,97,difficult
8974,97,difficult
9190,97,difficult
9211,97,difficult
9239,97,difficult
9399,97,difficult
9411,97,difficult
9619,97,difficult
9636,97,difficult
9663,97,difficult
9718,97,difficult
9807,97,difficult
9811,97,difficult
9845,97,difficult
9927,97,difficult
9937,97,difficult
9944,97,difficult
9982,97,difficult
9984,97,difficult
30,96,difficult
36,96,difficult
133,96,difficult
135,96,difficult
148,96,difficult
162,96,difficult
165,96,difficult
245,96,difficult
269,96,difficult
347,96,difficult
349,96,difficult
358,96,difficult
364,96,difficult
482,96,difficult
567,96,difficult
592,96,difficult
678,96,difficult
744,96,difficult
747,96,difficult
786,96,difficult
844,96,difficult
854,96,difficult
932,96,difficult
937,96,difficult
1097,96,difficult
1650,96,difficult
1655,96,difficult
1662,96,difficult
1696,96,difficult
1756,96,difficult
1759,96,difficult
1763,96,difficult
1768,96,difficult
1831,96,difficult
1851,96,difficult
1854,96,difficult
1867,96,difficult
2054,96,difficult
2092,96,difficult
2158,96,difficult
2198,96,difficult
2267,96,difficult
2537,96,difficult
2544,96,difficult
2557,96,difficult
2573,96,difficult
2595,96,difficult
2632,96,difficult
2637,96,difficult
2676,96,difficult
2680,96,difficult
2687,96,difficult
2754,96,difficult
2778,96,difficult
2783,96,difficult
2794,96,difficult
2871,96,difficult
2876,96,difficult
2877,96,difficult
2919,96,difficult
2939,96,difficult
2979,96,difficult
2986,96,difficult
3056,96,difficult
3167,96,difficult
3185,96,difficult
3187,96,difficult
3276,96,difficult
3347,96,difficult
3359,96,difficult
3401,96,difficult
3409,96,difficult
3417,96,difficult
3439,96,difficult
3441,96,difficult
3459,96,difficult
3508,96,difficult
3517,96,difficult
3564,96,difficult
3566,96,difficult
3572,96,difficult
3631,96,difficult
3641,96,difficult
3650,96,difficult
3665,96,difficult
3670,96,difficult
3679,96,difficult
3681,96,difficult
3738,96,difficult
3739,96,difficult
3801,96,difficult
3833,96,difficult
3843,96,difficult
3845,96,difficult
3884,96,difficult
3940,96,difficult
4118,96,difficult
4155,96,difficult
4180,96,difficult
4207,96,difficult
4208,96,difficult
4226,96,difficult
4247,96,difficult
4286,96,difficult
4300,96,difficult
4315,96,difficult
4351,96,difficult
4419,96,difficult
4453,96,difficult
4462,96,difficult
4506,96,difficult
4515,96,difficult
4522,96,difficult
4534,96,difficult
4541,96,difficult
4585,96,difficult
4679,96,difficult
4689,96,difficult
4721,96,difficult
4863,96,difficult
4888,96,difficult
4951,96,difficult
5038,96,difficult
5041,96,difficult
5091,96,difficult
5101,96,difficult
5135,96,difficult
5140,96,difficult
5174,96,difficult
5224,96,difficult
5229,96,difficult
5258,96,difficult
5293,96,difficult
5324,96,difficult
5344,96,difficult
5414,96,difficult
5434,96,difficult
5446,96,difficult
5487,96,difficult
5505,96,difficult
5506,96,difficult
5589,96,difficult
5620,96,difficult
5622,96,difficult
5643,96,difficult
5644,96,difficult
5648,96,difficult
5661,96,difficult
5664,96,difficult
5668,96,difficult
5686,96,difficult
5697,96,difficult
5700,96,difficult
5714,96,difficult
5787,96,difficult
5819,96,difficult
5820,96,difficult
5824,96,difficult
5843,96,difficult
5953,96,difficult
5955,96,difficult
5970,96,difficult
5985,96,difficult
5988,96,difficult
6021,96,difficult
6029,96,difficult
6102,96,difficult
6115,96,difficult
6150,96,difficult
6166,96,difficult
6214,96,difficult
6220,96,difficult
6256,96,difficult
6397,96,difficult
6513,96,difficult
6523,96,difficult
6567,96,difficult
6602,96,difficult
6707,96,difficult
6888,96,difficult
6918,96,difficult
6966,96,difficult
6981,96,difficult
7012,96,difficult
7020,96,difficult
7071,96,difficult
7104,96,difficult
7175,96,difficult
7265,96,difficult
7367,96,difficult
7406,96,difficult
7413,96,difficult
7449,96,difficult
7497,96,difficult
7501,96,difficult
7525,96,difficult
7621,96,difficult
7622,96,difficult
7640,96,difficult
7648,96,difficult
7772,96,difficult
7796,96,difficult
7858,96,difficult
7908,96,difficult
7956,96,difficult
7964,96,difficult
7977,96,difficult
8014,96,difficult
8025,96,difficult
8073,96,difficult
8182,96,difficult
8205,96,difficult
8250,96,difficult
8251,96,difficult
8260,96,difficult
8284,96,difficult
8285,96,difficult
8314,96,difficult
8366,96,difficult
8401,96,difficult
8410,96,difficult
8427,96,difficult
8524,96,difficult
8541,96,difficult
8611,96,difficult
8629,96,difficult
8706,96,difficult
8876,96,difficult
8887,96,difficult
8911,96,difficult
8958,96,difficult
8990,96,difficult
8993,96,difficult
9017,96,difficult
9020,96,difficult
9106,96,difficult
9188,96,difficult
9345,96,difficult
9355,96,difficult
9414,96,difficult
9449,96,difficult
9533,96,difficult
9544,96,difficult
9561,96,difficult
9575,96,difficult
9631,96,difficult
9709,96,difficult
9756,96,difficult
9786,96,difficult
9809,96,difficult
9820,96,difficult
9842,96,difficult
9849,96,difficult
9851,96,difficult
9864,96,difficult
9890,96,difficult
9897,96,difficult
9925,96,difficult
9980,96,difficult
9992,96,difficult
9993,96,difficult
56,95,difficult
93,95,difficult
169,95,difficult
241,95,difficult
274,95,difficult
356,95,difficult
441,95,difficult
477,95,difficult
774,95,difficult
779,95,difficult
898,95,difficult
931,95,difficult
955,95,difficult
976,95,difficult
1373,95,difficult
1439,95,difficult
1491,95,difficult
1493,95,difficult
1581,95,difficult
1697,95,difficult
1753,95,difficult
1765,95,difficult
1782,95,difficult
1858,95,difficult
2058,95,difficult
2068,95,difficult
2082,95,difficult
2172,95,difficult
2176,95,difficult
2249,95,difficult
2296,95,difficult
2339,95,difficult
2376,95,difficult
2382,95,difficult
2449,95,difficult
2476,95,difficult
2498,95,difficult
2499,95,difficult
2538,95,difficult
2556,95,difficult
2591,95,difficult
2656,95,difficult
2678,95,difficult
2724,95,difficult
2744,95,difficult
2788,95,difficult
2792,95,difficult
2840,95,difficult
2861,95,difficult
2878,95,difficult
2880,95,difficult
2955,95,difficult
2974,95,difficult
2985,95,difficult
3087,95,difficult
3139,95,difficult
3154,95,difficult
3177,95,difficult
3191,95,difficult
3269,95,difficult
3351,95,difficult
3354,95,difficult
3391,95,difficult
3397,95,difficult
3475,95,difficult
3502,95,difficult
3538,95,difficult
3552,95,difficult
3560,95,difficult
3606,95,difficult
3621,95,difficult
3623,95,difficult
3630,95,difficult
3648,95,difficult
3662,95,difficult
3680,95,difficult
3684,95,difficult
3697,95,difficult
3714,95,difficult
3819,95,difficult
3827,95,difficult
3831,95,difficult
3832,95,difficult
3855,95,difficult
3888,95,difficult
3912,95,difficult
3931,95,difficult
4005,95,difficult
4023,95,difficult
4026,95,difficult
4028,95,difficult
4116,95,difficult
4135,95,difficult
4190,95,difficult
4233,95,difficult
4252,95,difficult
4262,95,difficult
4266,95,difficult
4285,95,difficult
4324,95,difficult
4352,95,difficult
4406,95,difficult
4426,95,difficult
4443,95,difficult
